time,x,y,pressure,pressure_reference,normalized_error
0.02,0.67,0.0,3.1356797812417e-05,3.1304730519729165e-05,0.0010858199995941737
0.02,0.68,0.0,3.0620828149035e-05,3.05680679133304e-05,0.001100270748756375
0.02,0.69,0.0,2.9864276907804e-05,2.981513456528605e-05,0.001024822601259736
0.02,0.7,0.0,2.9107725666572e-05,2.9046058980816378e-05,0.0012860073425286815
0.02,0.71,0.0,2.8310823512811e-05,2.8260992336650088e-05,0.0010391876528557224
0.02,0.72,0.0,2.751392135905e-05,2.746010862548186e-05,0.0011222197146189081
0.02,0.73,0.0,2.6697431822986e-05,2.6643604742110347e-05,0.0011225189157610428
0.02,0.74,0.0,2.5861354904619e-05,2.5811700509957364e-05,0.0010355010220062216
0.02,0.75,0.0,2.5025277986252e-05,2.496463864687459e-05,0.0012645828899330426
0.02,0.76,0.0,2.4151568920437e-05,2.410268466935792e-05,0.0010194403193783156
0.02,0.77,0.0,2.3277859854622e-05,2.3226126734512747e-05,0.001078851108945056
0.02,0.78,0.0,2.2386287433576e-05,2.2335275419342923e-05,0.0010638130468189596
0.02,0.79,0.0,2.1476851657299e-05,2.1430463437171878e-05,0.0009673876739010411
0.02,0.8,0.0,2.0567415881023e-05,2.0512045291245292e-05,0.0011547075076559661
0.02,0.81,0.0,1.9624511611639e-05,1.958039686580901e-05,0.00091997626199624
0.02,0.82,0.0,1.8681607342256e-05,1.8635914955202948e-05,0.0009528766550021547
0.02,0.83,0.0,1.7723266092568e-05,1.767901673175942e-05,0.0009227835451956137
0.02,0.84,0.0,1.6749487862576e-05,1.671013915354289e-05,0.0008205845362946274
0.02,0.85,0.0,1.5775709632584e-05,1.5729738313213943e-05,0.0009586935560297071
0.02,0.86,0.0,1.477396553846e-05,1.4738288729544839e-05,0.0007440101192515989
0.02,0.87,0.0,1.3772221444337e-05,1.3736282583352904e-05,0.0007494749967725085
0.02,0.88,0.0,1.2758090874789e-05,1.2724228899852986e-05,0.0007061632689781408
0.02,0.89,0.0,1.1731573829816e-05,1.170265267965727e-05,0.0006031264856018721
0.02,0.9,0.0,1.0705056784844e-05,1.067209398087094e-05,0.000687411807854869
0.02,0.91,0.0,9.6572102339578e-06,9.633106954941983e-06,0.0005026537978090283
0.02,0.92,0.0,8.609363683072e-06,8.586258839124063e-06,0.00048183226649760617
0.02,0.93,0.0,7.552679760307e-06,7.532128908599762e-06,0.00042857088664470506
0.02,0.94,0.0,6.487158465663e-06,6.471307391487267e-06,0.00033056094270642267
0.02,0.95,0.0,5.4216371710189e-06,5.404394350116213e-06,0.00035958466090811315
0.02,0.96,0.0,4.3422638186172e-06,4.3319985321061455e-06,0.00021407399578260845
0.02,0.97,0.0,3.2628904662154e-06,3.254736194913536e-06,0.00017005053277428716
0.02,0.98,0.0,2.1785630320116e-06,2.173229907629386e-06,0.00011121786472075324
0.02,0.99,0.0,1.0892815160058e-06,1.0881073339093591e-06,2.4486589136194075e-05
0.02,1.0,0.0,6.0467270968411e-21,0.0,1.2609945466537378e-16
0.05,0.0,0.0,4.2774011760509e-05,4.276844051275109e-05,0.00011618372928472675
0.05,0.01,0.0,4.2762128322878e-05,4.2763678076053745e-05,-3.2318811019169036e-05
0.05,0.02,0.0,4.2750244885247e-05,4.2749391032566794e-05,1.7806386101755208e-05
0.05,0.03,0.0,4.2726479923547e-05,4.272558018355437e-05,1.8763327762912754e-05
0.05,0.04,0.0,4.2690833437778e-05,4.2692246869283354e-05,-2.947593618458879e-05
0.05,0.05,0.0,4.2655186952009e-05,4.2649392976250876e-05,0.0001208285361225265
0.05,0.06,0.0,4.2595789045763e-05,4.25970209472784e-05,-2.5690279519100492e-05
0.05,0.07,0.0,4.2536391139517e-05,4.2535133794447626e-05,2.6220883634284714e-05
0.05,0.08,0.0,4.24651274542e-05,4.246373511484688e-05,2.9036076926513216e-05
0.05,0.09,0.0,4.2381997989814e-05,4.238282910908964e-05,-1.733229989412338e-05
0.05,0.1,0.0,4.2298868525427e-05,4.229242060256025e-05,0.0001344660581170644
0.05,0.11,0.0,4.2192036320096e-05,4.21925150693348e-05,-9.983916417472898e-06
0.05,0.12,0.0,4.2085204114765e-05,4.208311865871917e-05,4.349044795572237e-05
0.05,0.13,0.0,4.1966539918938e-05,4.196423822433932e-05,4.799992277656617e-05
0.05,0.14,0.0,4.1836043732616e-05,4.183588135571268e-05,3.386235004764964e-06
0.05,0.15,0.0,4.1705547546294e-05,4.169805641222364e-05,0.00015622135842560195
0.05,0.16,0.0,4.1551437331699e-05,4.1550772559419805e-05,1.3863271905733019e-05
0.05,0.17,0.0,4.1397327117105e-05,4.1394039807540026e-05,6.855410155288642e-05
0.05,0.18,0.0,4.1231441202319e-05,4.122786905217952e-05,7.449421436709688e-05
0.05,0.19,0.0,4.1053779587342e-05,4.1052272116992174e-05,3.1437037920391176e-05
0.05,0.2,0.0,4.0876117972365e-05,4.0867261798324556e-05,0.00018468812946836858
0.05,0.21,0.0,4.0674981962294e-05,4.067285191167167e-05,4.442043068645909e-05
0.05,0.22,0.0,4.0473845952223e-05,4.046905733983912e-05,9.986252075549122e-05
0.05,0.23,0.0,4.0261019381322e-05,4.0255894082692525e-05,0.000106883831835499
0.05,0.24,0.0,4.0036502249591e-05,4.0033379308370237e-05,6.512633670796325e-05
0.05,0.25,0.0,3.981198511786e-05,3.9801531405831815e-05,0.00021800345292117824
0.05,0.26,0.0,3.9564198456496e-05,3.956037003861066e-05,7.983846465043827e-05
0.05,0.27,0.0,3.9316411795132e-05,3.930991619963614e-05,0.00013546023106980647
0.05,0.28,0.0,3.905705641336e-05,3.905019226698726e-05,0.0001431460524816098
0.05,0.29,0.0,3.878613231118e-05,3.8781222060436764e-05,0.00010239918737460518
0.05,0.3,0.0,3.8515208208999e-05,3.850303089864293e-05,0.00025394765971714623
0.05,0.31,0.0,3.8221301527686e-05,3.821564565684296e-05,0.00011794847320587997
0.05,0.32,0.0,3.7927394846372e-05,3.791909482490075e-05,0.00017309003109828254
0.05,0.33,0.0,3.7622086859885e-05,3.761340856556014e-05,0.00018097859623299707
0.05,0.34,0.0,3.7305377568227e-05,3.729861877275307e-05,0.00014094904727923933
0.05,0.35,0.0,3.6988668276568e-05,3.69747591298117e-05,0.0002900636646469967
0.05,0.36,0.0,3.6649363803249e-05,3.664186516743249e-05,0.0001563778010901503
0.05,0.37,0.0,3.6310059329931e-05,3.6299974321240244e-05,0.00021031445207179321
0.05,0.38,0.0,3.5959575880667e-05,3.59491259888e-05,0.0002179237866430762
0.05,0.39,0.0,3.5597913455459e-05,3.558936158592525e-05,0.00017834211256845096
0.05,0.4,0.0,3.5236251030251e-05,3.522072460213149e-05,0.0003237907197423398
0.05,0.41,0.0,3.485249997002e-05,3.4843260655085296e-05,0.00019267821353412593
0.05,0.42,0.0,3.4468748909789e-05,3.445701754390042e-05,0.00024464785946803154
0.05,0.43,0.0,3.4074105330413e-05,3.406204530113429e-05,0.0002515018605830333
0.05,0.44,0.0,3.3668569231891e-05,3.365839624334002e-05,0.00021214919874013784
0.05,0.45,0.0,3.3263033133368e-05,3.324612502003194e-05,0.000352604613529142
0.05,0.46,0.0,3.2836051937381e-05,3.2825288660924534e-05,0.00022445916110253812
0.05,0.47,0.0,3.2409070741393e-05,3.239594662130866e-05,0.0002736925875922287
0.05,0.48,0.0,3.1971556089899e-05,3.195816082543125e-05,0.0002793470777545484
0.05,0.49,0.0,3.1523507982898e-05,3.151199570774914e-05,0.00024007890466682644
0.05,0.5,0.0,3.1075459875897e-05,3.1057518251930876e-05,0.00037415761646026957
0.05,0.51,0.0,3.0606762989658e-05,3.059479802748495e-05,0.0002495193153171536
0.05,0.52,0.0,3.0138066103419e-05,3.012390722389732e-05,0.0002952716333583903
0.05,0.53,0.0,2.9659274600546e-05,2.9644920682165644e-05,0.00029933900622364
0.05,0.54,0.0,2.9170388481039e-05,2.9157915923622593e-05,0.0002601047911213403
0.05,0.55,0.0,2.8681502361532e-05,2.86629731759463e-05,0.00038641072440179854
0.05,0.56,0.0,2.817292918018e-05,2.816017539626066e-05,0.0002659695354845472
0.05,0.57,0.0,2.7664355998828e-05,2.7649608291234734e-05,0.000307551152101228
0.05,0.58,0.0,2.7146212146056e-05,2.7131360334095747e-05,0.0003097221619210861
0.05,0.59,0.0,2.6618497621866e-05,2.6605522778476707e-05,0.0002705795465142142
0.05,0.6,0.0,2.6090783097676e-05,2.6072189669025708e-05,0.000387750459977933
0.05,0.61,0.0,2.554451711108e-05,2.5531457848710418e-05,0.00027234003399901404
0.05,0.62,0.0,2.4998251124484e-05,2.498342696275823e-05,0.0003091455393228317
0.05,0.63,0.0,2.4443026571185e-05,2.442819945917882e-05,0.00030920706496223626
0.05,0.64,0.0,2.3878843451184e-05,2.386588058582307e-05,0.0002703297547143601
0.05,0.65,0.0,2.3314660331182e-05,2.32965783839393e-05,0.00037708394145717633
0.05,0.66,0.0,2.2733238801262e-05,2.272040367819481e-05,0.00026766579563033564
0.05,0.67,0.0,2.2151817271341e-05,2.2137470063137854e-05,0.0002991990710698044
0.05,0.68,0.0,2.1562137889392e-05,2.154789388608265e-05,0.00029704681901377735
0.05,0.69,0.0,2.0964200655415e-05,2.0951794226407172e-05,0.0002587257382674279
0.05,0.7,0.0,2.0366263421438e-05,2.034929287126086e-05,0.0003539066818191095
0.05,0.71,0.0,1.9752576407867e-05,1.9740514287686907e-05,0.0002515454645890195
0.05,0.72,0.0,1.9138889394296e-05,1.9125585591170987e-05,0.0002774397276695338
0.05,0.73,0.0,1.8517731497782e-05,1.8504636510635744e-05,0.00027308504444587965
0.05,0.74,0.0,1.7889102718327e-05,1.7877799349907763e-05,0.00023572232890948705
0.05,0.75,0.0,1.7260473938872e-05,1.7245208945691046e-05,0.0003183387119611676
0.05,0.76,0.0,1.6617752013506e-05,1.6607002622088133e-05,0.00022416960019340943
0.05,0.77,0.0,1.597503008814e-05,1.5963320141717274e-05,0.00024420117435726267
0.05,0.78,0.0,1.5325705286803e-05,1.5314303653481407e-05,0.0002377715615607009
0.05,0.79,0.0,1.4669777609497e-05,1.4660097637050976e-05,0.00020186775871810153
0.05,0.8,0.0,1.401384993219e-05,1.4000848844130344e-05,0.00027112685724405743
0.05,0.81,0.0,1.3345640501563e-05,1.3336706236583484e-05,0.0001863166509269969
0.05,0.82,0.0,1.2677431070936e-05,1.266782092150189e-05,0.00020041165799049456
0.05,0.83,0.0,1.2003559821148e-05,1.1994346083303328e-05,0.0001921448246357876
0.05,0.84,0.0,1.1324026752201e-05,1.1316436912956995e-05,0.00015827977256767923
0.05,0.85,0.0,1.0644493683253e-05,1.0634250534435954e-05,0.00021361233262214731
0.05,0.86,0.0,9.9546264219434e-06,9.947945928504164e-06,0.00013931612359740673
0.05,0.87,0.0,9.2647591606335e-06,9.25768385395047e-06,0.00014754962478566837
0.05,0.88,0.0,8.5702336628107e-06,8.563626766387613e-06,0.000137781319156454
0.05,0.89,0.0,7.871049928475e-06,7.865938734739183e-06,0.00010658968603233495
0.05,0.9,0.0,7.1718661941392e-06,7.164785355542587e-06,0.00014766498823353817
0.05,0.91,0.0,6.4644086725501e-06,6.460333665200169e-06,8.498088244334563e-05
0.05,0.92,0.0,5.756951150961e-06,5.752752050315392e-06,8.756874471361902e-05
0.05,0.93,0.0,5.045888805097e-06,5.042210156254794e-06,7.671515606350058e-05
0.05,0.94,0.0,4.3312216349583e-06,4.328878794079969e-06,4.885799415018029e-05
0.05,0.95,0.0,3.6165544648195e-06,3.6129298459974392e-06,7.558840501839127e-05
0.05,0.96,0.0,2.8957595407547e-06,2.8945361694772923e-06,2.5512388514275085e-05
0.05,0.97,0.0,2.1749646166899e-06,2.1738715001941607e-06,2.2796033588233564e-05
0.05,0.98,0.0,1.451653723726e-06,1.4511103539464369e-06,1.133152394463859e-05
0.05,0.99,0.0,7.25826861863e-07,7.264279277119852e-07,-1.2534727392379759e-05
0.05,1.0,0.0,4.0291484696586e-21,0.0,8.402453371100539e-17
0.1,0.0,0.0,2.9335993328393e-05,2.9318157998696154e-05,0.00037194093805296193
0.1,0.01,0.0,2.9327305843873e-05,2.931468453251635e-05,0.00026320693058342785
0.1,0.02,0.0,2.9318618359352e-05,2.9304264823493412e-05,0.0002993310290509726
0.1,0.03,0.0,2.930124877445e-05,2.9286900940061362e-05,0.0002992121296464034
0.1,0.04,0.0,2.9275197089167e-05,2.926259632922545e-05,0.00026277834794778394
0.1,0.05,0.0,2.9249145403884e-05,2.9231355815985052e-05,0.00037098703097594515
